ps,mun,per,prob_mean,ppt_out_mean,altitude_mean,ppt_ago_mean,Expectativa de Vida_mean,Necessidades Humanas Básicas_mean,tmed_out_mean,ppt_jun_mean,ppt_set_mean,tmed_set_mean,Famílias em Situação de Rua_mean
35,350190,2013-2025,0.92308074,133.43000000000004,796.6000000000001,29.88,77.27,78.6597023602285,19.460000000000004,47.01,62.90999999999998,18.139999999999993,296.8500678200949
35,354890,2013-2025,0.9208708,142.88000000000005,736.7099999999999,25.540000000000003,76.77999999999999,81.94192587411361,20.639999999999993,36.540000000000006,60.47000000000001,19.360000000000007,161.581860033695
35,352930,2013-2025,0.920478,127.18000000000004,584.59,17.460000000000004,75.84000000000002,82.93876186337687,21.720000000000002,30.490000000000002,53.40999999999998,20.449999999999996,138.340477643412
35,351110,2013-2025,0.91902167,127.06999999999996,533.41,21.07999999999999,76.20000000000002,83.3771544838677,22.410000000000004,26.13,53.179999999999986,21.15,122.05588907554504
35,353870,2013-2025,0.9182151,130.22,536.5299999999999,26.07999999999999,75.88,81.6762347020809,20.979999999999997,40.72000000000001,61.30999999999998,19.650000000000002,153.14233979791604
35,353930,2013-2025,0.9179174,134.49,639.53,23.569999999999997,78.02999999999999,81.80695158860809,20.92000000000001,35.99,58.79999999999998,19.63,155.25509786302297
35,353730,2013-2025,0.9151108,124.32999999999998,417.61999999999995,18.97,76.54999999999998,82.49517283333537,22.98,42.12,56.99,21.680000000000003,171.379334698773
51,510340,2013-2025,0.9470198,141.16000000000003,280.32000000000005,21.13,75.01,78.559125118682,27.019999999999996,19.84,65.36,25.910000000000007,82.7922479381898
51,510760,2013-2025,0.9436969,172.40000000000003,354.59000000000003,19.47,74.37,78.826157198272,26.339999999999993,19.210000000000004,69.59000000000002,25.220000000000002,96.68361291588961
51,510704,2013-2025,0.94289136,193.55000000000004,647.4400000000003,11.460000000000004,75.59000000000002,79.7915954133949,25.699999999999996,11.979999999999999,77.09000000000002,24.77,116.09992667297
51,510790,2013-2025,0.9424829,227.38999999999993,357.44999999999993,28.81,74.93000000000004,77.58788807922632,27.779999999999998,19.16,219.23999999999998,27.040000000000003,131.832597070593
51,510267,2013-2025,0.91875106,180.92000000000002,696.9799999999998,16.889999999999993,75.05999999999997,76.43905099926552,25.44,15.53,76.05999999999997,24.48,41.589858397477414
51,510792,2013-2025,0.9148855,207.05999999999997,387.27000000000004,27.540000000000003,75.33000000000001,70.02232638156899,27.430000000000003,15.409999999999998,185.84,26.600000000000005,41.722061238626104
51,510263,2013-2025,0.8943689,200.46999999999997,529.3900000000001,35.019999999999996,74.14999999999999,77.0564224037563,26.509999999999998,23.160000000000004,142.36999999999995,25.529999999999998,98.0019976288864
51,510622,2013-2025,0.88952357,201.11999999999995,410.1499999999999,28.300000000000004,75.20000000000002,76.07482095956242,27.089999999999993,12.840000000000002,136.59999999999997,26.17000000000001,21.411791062333997
51,510180,2013-2025,0.8784812,159.8,456.77999999999986,9.200000000000001,74.01,76.61728418768631,26.300000000000004,8.61,66.47000000000001,25.360000000000007,39.6828177324282
51,510020,2013-2025,0.878152,206.15000000000003,372.11999999999995,15.19,74.71000000000001,74.9054276424597,27.149999999999995,9.549999999999999,85.9,26.290000000000003,41.301627756675416
51,510795,2013-2025,0.8750474,177.86999999999995,560.8000000000001,33.07999999999999,74.47000000000001,77.0619122712185,26.160000000000007,27.75,118.02999999999999,25.100000000000005,32.75971152972159
51,510480,2013-2025,0.87205863,168.41000000000003,563.34,17.900000000000002,74.96000000000001,73.8905806662159,25.759999999999998,17.38,70.52,24.720000000000002,39.13363224375679
51,510840,2013-2025,0.87192243,129.43000000000004,200.51000000000002,19.449999999999996,75.5,76.8838492483852,27.279999999999998,20.82999999999999,62.75,26.12,19.8985253418243
51,510800,2013-2025,0.8635047,202.84,340.4899999999999,27.350000000000005,74.88,70.6320470760546,27.610000000000007,15.53,189.09,26.740000000000002,60.8212628270827
51,510787,2013-2025,0.86094767,226.30999999999997,456.77999999999986,40.35000000000001,75.14,77.02561414245153,26.82999999999999,30.050000000000004,172.52,25.839999999999993,20.6718601317948
51,510025,2013-2025,0.85852593,305.94999999999993,294.84999999999997,39.57,73.99,75.13639825955069,28.209999999999997,31.88,251.98999999999992,27.589999999999993,32.7933373276935
51,510525,2013-2025,0.85437083,205.03000000000006,391.27999999999986,28.77999999999999,74.96000000000001,74.45098285959942,27.319999999999997,14.490000000000002,170.57999999999998,26.449999999999996,87.51992132208281
51,510560,2013-2025,0.84758955,291.59999999999997,345.07,30.759999999999998,74.46000000000001,66.59261765353412,28.139999999999993,23.81,197.34999999999997,27.589999999999993,36.922268116430004
51,510300,2013-2025,0.83952814,167.48999999999998,462.1099999999999,23.899999999999995,74.99,68.09198623807609,26.449999999999996,18.610000000000007,77.44000000000003,25.430000000000003,35.0744259605263
51,510724,2013-2025,0.8367938,226.52,353.72999999999996,27.970000000000002,74.64,82.5651092574598,27.779999999999998,16.84,193.38000000000005,27.040000000000003,5.115089514066499
51,510350,2013-2025,0.83191425,182.8,475.88000000000005,27.990000000000002,74.87,70.81068699152719,26.680000000000003,13.56,108.61999999999999,25.699999999999996,8.290226045320152
51,510130,2013-2025,0.82895917,163.7,279.69999999999993,30.38,72.55999999999997,69.01435205057143,27.290000000000003,16.240000000000002,88.13000000000001,26.220000000000002,0.0
51,510040,2013-2025,0.82787144,177.55999999999997,686.7600000000001,22.180000000000003,75.08000000000001,75.6288637129436,24.779999999999998,19.34,74.19000000000003,23.740000000000002,12.0234150211816
51,510637,2013-2025,0.8267438,174.36999999999995,455.8599999999999,20.860000000000007,73.73,73.88128397181023,25.800000000000004,19.970000000000002,70.33000000000001,24.699999999999996,2.13078873365955
51,510270,2013-2025,0.8253535,214.61999999999995,353.72999999999996,18.289999999999996,74.51,69.7014632472982,27.410000000000007,8.960000000000004,85.95000000000002,26.610000000000007,2.529320340267419
51,510320,2013-2025,0.82358086,275.34000000000003,306.55000000000007,34.36000000000001,74.15999999999998,72.0725782264327,28.17000000000001,26.360000000000007,239.73,27.519999999999996,10.2409441283954
51,510730,2013-2025,0.8227933,198.46,387.83,30.02999999999999,75.47000000000001,61.382777276257485,27.160000000000007,14.120000000000001,138.38999999999993,26.209999999999997,4.36322805139644
51,510590,2013-2025,0.8181687,184.96999999999997,403.47999999999996,28.509999999999998,74.64,60.67769156259871,26.92000000000001,14.659999999999998,99.33999999999999,25.94,0.0
51,510250,2013-2025,0.8149976,112.35999999999997,147.38000000000005,20.389999999999993,73.76,68.12316449297558,26.949999999999996,29.949999999999996,66.02999999999999,25.600000000000005,31.506389607902108
51,510510,2013-2025,0.8136083,279.2600000000001,314.92999999999995,41.43,75.18000000000004,70.86802158541879,27.88,31.19,244.88999999999993,27.110000000000007,10.2779512438476
50,500270,2013-2025,0.9108178,191.98,467.67,55.480000000000004,75.62,81.73925953146612,23.56,61.34000000000002,99.19000000000003,22.17000000000001,43.327659626414615
50,500830,2013-2025,0.9090919,152.96,377.09000000000003,43.83,75.90999999999998,80.53754657765128,24.069999999999997,39.440000000000005,79.72000000000001,22.77,65.20770375008318
50,500330,2013-2025,0.8517204,139.44000000000003,277.29,47.22000000000001,75.16999999999999,77.09748785504232,25.82999999999999,28.029999999999998,71.61,24.56,22.9416788778131
50,500630,2013-2025,0.84142584,140.44000000000003,463.60000000000014,27.470000000000002,74.38,76.70916910064469,24.160000000000004,37.10000000000001,68.77,22.949999999999996,10.377310392633401
50,500290,2013-2025,0.83880705,170.54,562.3900000000001,46.980000000000004,73.63,80.28380597225228,24.069999999999997,37.32999999999999,87.75,22.88,90.5788244701946
50,500320,2013-2025,0.8334372,127.61999999999996,116.0,42.26,75.05999999999997,72.50154845314772,26.149999999999995,40.2,72.48,24.680000000000003,5.33332126826999
50,500295,2013-2025,0.8314315,182.42000000000002,663.4300000000001,54.5,76.02,77.3437756181685,23.759999999999998,39.0,92.5,22.589999999999996,19.817892415781195
50,500793,2013-2025,0.823228,160.11000000000007,478.65999999999997,39.709999999999994,73.19000000000003,74.60788136512248,25.319999999999997,25.930000000000003,77.37,24.149999999999995,17.018574823513298
50,500370,2013-2025,0.81443495,197.07999999999998,378.15999999999997,64.88,75.59000000000002,76.0420951821435,23.139999999999993,80.70000000000002,122.24,21.62,48.4927314046107
50,500520,2013-2025,0.8062449,99.35999999999999,198.04,30.92000000000001,74.34000000000002,75.77067734852072,25.62,32.42000000000001,57.29999999999998,24.089999999999996,3.3537512070940703
50,500769,2013-2025,0.804609,149.32999999999998,503.86999999999995,52.88999999999999,76.01,81.7865066725955,24.449999999999996,39.790000000000006,78.95000000000002,23.180000000000003,11.809440745104897
50,500190,2013-2025,0.7930408,178.88000000000005,328.7600000000001,54.820000000000014,75.79999999999998,78.02292231240497,23.430000000000003,65.37,85.04999999999998,22.02,14.1037488388869
50,500440,2013-2025,0.79053223,155.63000000000005,468.19999999999993,42.08,75.76,75.95349512576618,24.13,40.08,84.05999999999997,22.9,33.530518563252386
50,500025,2013-2025,0.7837563,170.01000000000002,413.27000000000004,49.49,76.46000000000001,71.3847498100356,25.290000000000003,29.81,82.86999999999999,24.089999999999996,3.4334763948497797
50,500710,2013-2025,0.7755582,194.5,439.63000000000005,67.75,74.81999999999996,77.1045156711293,23.819999999999997,57.519999999999996,100.36999999999999,22.48,38.3041021445365
50,500325,2013-2025,0.7700183,183.95,673.2299999999998,54.559999999999995,73.64,78.9605015539693,23.949999999999996,35.64999999999999,89.53999999999999,22.79,5.927925978021279
50,500100,2013-2025,0.7676877,130.34999999999997,385.58,28.540000000000006,73.23,79.64189162635851,24.160000000000004,39.050000000000004,68.03999999999999,22.9,18.601081162657696
50,500380,2013-2025,0.7582607,220.46,328.35,73.06999999999996,73.91999999999999,77.6682411636914,23.19,82.6,131.20000000000002,21.67000000000001,5.70467643267304
50,500600,2013-2025,0.758221,219.09000000000003,382.40999999999997,69.26,73.52,76.00219033181563,23.529999999999998,71.81999999999996,115.38000000000004,22.089999999999996,9.632019257924282
50,500740,2013-2025,0.7499638,137.42000000000002,275.94999999999993,50.90999999999998,76.11,80.70405571704319,25.56,35.13999999999999,73.46000000000001,24.23,3.519550373459031
50,500640,2013-2025,0.7470426,154.70000000000002,334.59000000000003,44.769999999999996,73.03999999999999,74.5083593783378,25.779999999999998,26.639999999999993,77.0,24.56,0.0
50,500620,2013-2025,0.7439293,236.29,348.79,76.86,75.97000000000001,79.7262162796162,23.32999999999999,74.34000000000002,110.53999999999999,21.88,24.5993399914985
50,500780,2013-2025,0.73562634,141.13999999999993,374.64000000000004,34.5,74.5,72.2192730981759,24.13,38.43,77.97000000000001,22.85,6.766859938015459
50,500260,2013-2025,0.73140013,166.7,507.93000000000006,58.53999999999999,74.02,80.5993370754412,24.31,43.87,86.99,23.04,7.1436740741606295
50,500085,2013-2025,0.7303485,254.98,328.19999999999993,84.46000000000001,75.34000000000002,79.09107819907697,23.350000000000005,73.27999999999999,121.47000000000001,21.88,5.92137878743694
50,500500,2013-2025,0.7220889,169.98999999999998,336.21,65.38,75.68000000000004,77.51070835405423,23.699999999999996,87.85999999999999,105.86999999999999,22.110000000000007,1.9413706076489996
50,500110,2013-2025,0.71623796,144.79,153.56999999999996,42.76,75.39,74.3031347633298,25.509999999999998,51.769999999999996,81.23,24.040000000000003,2.83105607947995
50,500570,2013-2025,0.70999277,221.11999999999995,308.19,82.21000000000001,73.14999999999999,83.0461052680357,22.77,116.22000000000001,138.63000000000005,21.220000000000002,30.9547739476406
50,500540,2013-2025,0.70516056,181.46999999999997,469.42,58.37,77.35000000000001,77.1406248167823,23.19,80.91999999999999,109.95000000000002,21.71,2.4012685800345794
